	AEC	AF1	AF2	AM	ASMC	AT1	AT2	BCell	Basal	CAP1	CAP2	Ciliated	Deuterosomal	IM	LEC	MON	Mast	Mesothelial	NK	PC	PNEC	Plasma	Proliferating AT2	RAS	SCMF	Secretory	TCell	VEC	VSMC	cDC	pDC
RBM24	0.7116824859932471	0.29101781027696394	0.30354002883516673	0.16519693571569244	1.2357222537487478	0.007219023821930086	0.01318522854523327	0.0	0.0	0.08446776237401606	0.0	0.5340586241161375	0.3394697977508969	0.17527496073963075	0.0	0.0	0.0	0.11805944305530099	0.0	0.13746021898729527	0.6543956981916921	0.0	0.0	0.0	0.1128627980818666	0.16407661287078554	0.11513896544676357	0.10064496829434641	2.431538141294662	0.0	0.0
MRGPRF	0.12450902704179291	0.7980310813993827	1.7876719332920403	0.08961243710818809	1.123270831138256	0.03048684827936717	0.029734354964970636	0.0	0.0	0.18509786620446597	0.15535914532133632	0.10026041479617726	0.16055596711641618	0.11810887828814343	0.0	0.22665852094476355	0.0	1.3533953826718133	0.0	1.617545382903965	0.0	0.0	0.0	0.024138916134374373	1.1089420522854132	0.05102488797906762	0.0	0.0	2.961896812148104	0.0	0.0
AC018647.1	0.2956296951487255	0.49065159272473075	0.5855876860725651	0.21205922723990028	0.25231829535903405	0.32488749238253356	0.23019507036727055	0.39524108421504817	0.6257494533829121	0.23374318554486134	0.12137231332185672	0.24375610523278637	0.1652176575603661	0.28248378572717925	0.15601504194692123	0.0	0.0	0.4216386654096649	0.3725389283603331	1.1668726663097	0.15947091204215205	0.9482840655881194	0.09117185779689418	0.346641706286915	0.17564486749580338	0.4033794282363659	0.730059673051196	0.0	3.058961167686078	0.15736628962450702	0.0
KCNAB1-AS2	0.0	0.0	0.0	0.006291969892340429	0.0	0.027174028965624243	0.004853838732490333	0.0	0.0	0.04490801171576052	0.0	0.013085657200103323	0.0	0.0	0.0	0.0	0.6962900343584942	0.12089088902370727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.212507807403019	0.0	0.0
AVPR1A	0.0	0.0227531220900485	0.05981290272221523	0.0	0.0	0.008421054947615648	0.0039073075279651695	0.0	0.0	0.0785314518225539	0.07884273150551452	0.4239995929357346	0.29964604822414004	0.062287706541808735	0.0	0.0	0.4645913934993663	0.0	0.0	0.09778378684079513	0.0	0.0	0.0	0.011662281761870901	0.0	0.054054069574312864	0.07085574514574736	0.0	1.515487302118228	0.0	0.0
AC021683.2	0.07834622454367397	0.3877500515692879	0.346421616856896	0.03904156778865839	0.13134225899622623	0.08276803648764558	0.0875689715846282	0.0	0.0	0.10966113604824276	0.05211597348946862	0.06291723816463961	0.45923399501225975	0.2723351158453743	0.0	0.0	0.8377146143951225	0.23086431321520198	0.18872464365801053	0.04655786123582512	0.2775217905891364	0.0	0.07086263170467653	0.1039727950134091	0.21980607346155506	0.1288710514982948	0.12594947479521856	0.1047580828150072	2.2612697069121412	0.0	0.0
ITIH3	0.21718530929750463	0.2569903425836058	0.16224871990805573	0.06873595505216695	0.17055916753708644	0.020179185677650688	0.023386787196033036	0.0	0.0	0.07520094167131018	0.0	0.0	0.1786730502518562	0.08267089419131103	0.36171880889204994	0.0	0.0	0.15746091689833316	0.34103073633226116	0.34820852170223987	0.6552419763639876	0.9545348773219565	0.0	0.0403127458726096	0.0	0.04498353047872096	0.0	0.0	1.8925064002574472	0.0	0.0
B4GALNT1	0.08938689691230568	0.040924586907833085	0.12818729755292851	0.015595726293725553	0.4095143431682328	0.007049632466210856	0.008661183023176018	0.0	0.11586829669154244	0.035709023480143896	0.0	0.0	0.2737815255778334	0.09839703627129834	0.0	0.10855815009456915	0.0	0.0	0.0	0.8100476141560492	0.0	0.7078455939163875	0.03914747364845828	0.01583806499760265	0.49587581290568195	0.0	0.09477657864366329	0.21461399820450516	1.6012123123936612	0.0	0.0
RNF112	0.0	0.8152817549226451	1.3500156405344856	0.11703200883958649	2.142393056929948	0.038461727030115536	0.02480889778313439	0.13973497212288769	0.0	0.8679385565741708	1.190380293494452	0.07695816947954484	0.0	0.2923962964965253	0.8061781540203276	0.4381580323360501	0.0	0.45785254053867086	0.5684907969685311	0.21835195099349336	0.6199065811101443	0.0	0.028311245955935028	0.060648376758736085	1.9296707277059841	0.06786827479015109	0.05637509260093917	0.882716944115478	2.7436321571776205	0.0	0.0
HAPLN2	0.1329123339653928	0.07163349003004163	0.055879030830253945	0.02768678485617889	0.37460575547057295	0.02639842071358664	0.04386589447613161	0.0	0.0	0.2656124254272771	0.18026408248862955	0.011523920871827494	0.0	0.06390783182838398	0.0	0.0	0.0	0.0	0.0	1.0551949667869849	0.0	0.0	0.06007211369759712	0.059576716656669346	0.18044278770291722	0.09212991254203703	0.06236016661032224	0.15986985197780765	1.8996199095493727	0.0	0.0
OR51E2	0.0	0.0	0.0	0.008238362962653876	0.0	0.004768212917548175	0.0019029655785184115	0.0	0.0	0.0	0.0	0.03137390087511747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07680677529711052	0.8363720762020602	0.0	0.0
AL136099.1	0.0	0.0	0.0	0.0	0.1262141530089699	0.0	0.0010476848284329701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6324443542957218	0.0	0.0	0.04777295990047056	0.0	0.0	0.0	0.0	0.8586948522857352	0.0	0.0
C5orf46	0.0	0.006323003400873102	0.0	0.007953871038608699	0.47723255489504457	0.01707644030487474	0.021706245788182744	0.0	0.0	0.0	0.0	0.0	0.0	0.043924455502488066	0.0	0.0	0.0	0.253129427164282	0.0	0.07122347940991315	0.0	0.0	0.1380952411966664	0.4525228599226793	0.0	0.15969520741426005	0.05972904146632514	0.2852714820415246	1.7453266379176071	0.0	0.0
AC004080.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26959013399215703	0.0	0.0
