UID	Chondrocyte	MEC	AF2	AF1	SCMF	Pericyte	ASMC	VSMC	Mesothelial	Neutrophil	maDC	IM	AM	iMON	pMON	cDC1	cDC2	pDC	PNEC	Megakaryocyte/Platelet	Plasma	CD8 T	NK	ILC	CD4 T	Treg	B	Mast/Basophil	CAP1	CAP2	AEC	SVEC	VEC	LEC	Ionocyte	Tuft	Basal	Suprabasal	Ciliated	AT1	RAS	AT2	Deuterosomal	Goblet	Secretory	SMG Basal/Duct	Mucous	Serous
PALM	0	0.25212255	0.667651153	0.136436222	0.185616908	0.221776229	0.116952405	0.102441905	0.215354699	0.016117187	0.025159932	0.004995142	0.031123923	0.00807932	0.011185519	0.006298601	0.019887959	0	0.034856141	0.052087748	0.015928169	0.008389013	0.021975369	0	0.014559515	0	0.021536122	0.007227327	0.193632306	0.11368909	0.206254874	0.197268009	0.20676545	0.872402074	0.125960134	0.05609582	0.084459776	0.191396559	0.033715366	0.037533128	0.054359475	0.007630001	0.038517398	0.099442767	0.03086781	0.015843872	0.008758104	0
HRCT1	0	0.576458754	0.15042197	0.055449084	0.074337659	0.013042448	0.099904882	0.088068991	0	0	0	0.001682621	0.000532878	0	0.026594274	0	0	0	0	0	0	0.003284361	0	0	0	0	0	0	0.148328748	0.114632665	0.335917389	0.269193851	0.530270095	0.848622904	0	0	0.046084527	0.005245519	0.015730275	0.207107125	0.007601143	0.014064234	0	0.000679118	0.020722215	0.082807185	0.002797406	0.010268709
LINC01197	0	0	0.064144877	0.071169324	0.001635611	0.197765697	0.015714878	0.294206452	0.095939084	0	0	0.002482104	0.003929796	0.00078049	0	0	0.00201191	0	0.094068491	0	0	0.032351078	0.0055986	0	0	0	0.004002791	0	0.007031621	0	0.002425658	0.107191081	0.078033708	0.539469742	0	0	0.001030984	0	0.002458872	0.005902705	0	0.001197702	0	0	0	0.000947053	0	0.00367181
FLRT2	0	0.020169795	0.728825705	0.234671647	0.4115977	0.008612283	0.254095488	0.007997537	0.953269208	0	0.006333945	0.079572174	0.026042192	0.048920394	0.005789333	0.088746415	0.048765256	0	0.057884728	0	0.006111026	0.006390036	0.004900593	0	0.023986286	0	0.008963325	0.008381032	0.011684512	0.011084854	0	0.321202927	0.033141934	1.004841842	0	0.017524541	0.015490299	0.013808859	0.012111263	0.003442375	0.00584448	0.017073981	0.01574231	0.000671496	0.005566924	0	0.00655911	0.026680035
CD36	0	0	0.037933183	0.319851924	0.081371738	0.061801082	0.038232226	0.089063683	0.021137443	0.035682757	0.098636176	0.65977509	0.616330297	1.298438758	0.460716192	0.099230169	0.384812064	0.829533904	0.012723222	1.340442168	0.042522379	0.025557985	0.032457786	0	0.061605456	0.071025147	0.04003332	0.037992854	1.921369291	0.345310153	0.434010096	0.383488963	0.226510211	1.967236248	0.003067768	0.003421555	0.0908944	0.01742868	0.040111566	0.08256035	0.041678518	0.961334861	0.017364443	0.030929849	0.034953943	0.002749893	0.005119954	0.042938128
GGT5	0	0.199100401	0.706731717	0.380342634	0.396331744	0.16730272	0.041382583	0.295821158	0.245891191	0	0.020813282	0.013997617	0.005623104	0.013524016	0.011940199	0.023261523	0.01888409	0	0.001413175	0	0.001874616	0.003338913	0.009885711	0	0.002414573	0	0.005592457	0.001515983	0.238844797	0.093217687	0.018637988	0.305974695	0.232151608	1.146423597	0.008818459	0.072854397	0.108570424	0.033125679	0.033991338	0.025925878	0.591745597	0.241396553	0.05117926	0.025508464	0.486655704	0.11391487	0.037592869	0.061888407
VPS35L	0	0.159975621	0.403239294	0.182781734	0.294272321	0.259922023	0.124720831	0.173800075	0.283314572	0	0.181251777	0.373205517	0.399570937	0.285056754	0.324136447	0.272599536	0.361746177	0.257733231	0.337768121	0.051279027	0.248337363	0.107856362	0.181434639	0.132783527	0.181356965	0.112035424	0.201416173	0.130575124	0.237502488	0.225808329	0.247606612	0.279530926	0.268346746	1.39592809	0.326419794	0.229906943	0.346626049	0.308131065	0.204565951	0.26005225	0.255149535	0.322805579	0.305854729	0.321866051	0.31489372	0.264766897	0.271755628	0.262324036
FRMD6	0.924046608	0.250720788	0.520994522	0.298037867	0.334054501	0.170683694	0.274318252	0.217132431	0.12092206	0	0.002623051	0.013601871	0.006168233	0.008427657	0.011484074	0.00939004	0.009152777	0	0.007411943	0	0.0344984	0.018938152	0.052055161	0	0.014781918	0.008396109	0.003036127	0.010784432	0.009825146	0.006358659	0.067058674	0.102603088	0.073973797	0.881426053	0.011947782	0.152600781	0.253253659	0.263970382	0.037415077	0.024792383	0.070637787	0.014290341	0.06255911	0.052425139	0.016728542	0.102783186	0.021757923	0.130368626
CNTNAP3B	0	0.296055668	0.007750327	0.004769409	0.025922485	0.006564277	0.023835973	0.003044494	0.601335024	0.045433224	0.008389315	0.020004513	0.018305315	0.014873043	0.002496563	0.013805821	0.023009884	0.005357437	0.326467857	0	0.000775664	0.001447047	0.011487748	0	0.0353182	0.003371194	0.012933973	0.003896828	0.35094562	0.108295259	0.521870557	0.539314547	0.612084699	1.032882522	0.100921328	0.001988847	0.135566867	0.109281484	0.421468315	0.023226792	0.013340316	0.11113925	0.188366752	0.029238902	0.033128794	0.176551998	0.056858732	0.0426194
TFF3	0.450988769	0.613118621	0.140921938	0.058589964	0.005325061	0.054313676	0.117661702	0.11653934	0.04795373	0.264163141	0.029117673	0.087355661	0.054714095	0.051009459	0.033817994	0.062793986	0.126194406	0.162239675	3.77594295	0	0.17637478	0.079367168	0.009482929	0	0.131539517	0.057447784	0.087769335	0.037278903	0.00771886	0.026449585	0.128016619	0.162220898	0.026981727	3.196011389	2.838427523	2.766349722	0.576337387	0.838860247	1.516004203	0.027672414	0.658341699	0.109325287	2.030076389	3.210565085	1.974008059	0.623993951	4.43712974	0.628878415
