barcode	ann_finest_level	Population
mc2424-Meyer_2021_5prime	EC general capillary	EC general capillary
mc2425-Meyer_2021_5prime	Ionocyte	Ionocyte
mc2426-Meyer_2021_5prime	Unknown	Unknown
mc2427-Meyer_2021_5prime	Lymphatic EC differentiating	Lymphatic EC differentiating
mc2428-Meyer_2021_5prime	Unknown	Unknown
mc2429-Meyer_2021_5prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc243-Meyer_2021_5prime	NK cells	NK cells
mc2430-Meyer_2021_5prime	Ionocyte	Ionocyte
mc2431-Meyer_2021_5prime	Club (non-nasal)	Club (non-nasal)
mc2432-Meyer_2021_5prime	AT2	AT2
mc2433-Meyer_2021_5prime	Ionocyte	Ionocyte
mc2434-Meyer_2021_5prime	AT1	AT1
mc2435-Meyer_2021_5prime	DC2	DC2
mc2436-Meyer_2021_5prime	Neuroendocrine	Neuroendocrine
mc2437-Meyer_2021_5prime	EC arterial	EC arterial
mc2438-Meyer_2021_5prime	Interstitial Mph perivascular	Interstitial Mph perivascular
mc2439-Meyer_2021_5prime	EC venous pulmonary	EC venous pulmonary
mc244-Meyer_2021_5prime	NK cells	NK cells
mc2440-Meyer_2021_5prime	AT1	AT1
mc2441-Meyer_2021_5prime	Smooth muscle	Smooth muscle
mc2442-Meyer_2021_5prime	Smooth muscle FAM83D+	Smooth muscle FAM83D+
mc2443-Meyer_2021_5prime	NK cells	NK cells
mc2444-Meyer_2021_5prime	Goblet (bronchial)	Goblet (bronchial)
mc2445-Meyer_2021_5prime	Mast cells	Mast cells
mc2446-Meyer_2021_5prime	Unknown	Unknown
mc2447-Meyer_2021_5prime	EC arterial	EC arterial
mc2448-Meyer_2021_5prime	SM activated stress response	SM activated stress response
mc2449-Meyer_2021_5prime	Neuroendocrine	Neuroendocrine
mc245-Meyer_2021_5prime	NK cells	NK cells
mc2450-Meyer_2021_5prime	Lymphatic EC differentiating	Lymphatic EC differentiating
mc246-Meyer_2021_5prime	NK cells	NK cells
mc247-Meyer_2021_5prime	NK cells	NK cells
mc248-Meyer_2021_5prime	NK cells	NK cells
mc249-Meyer_2021_5prime	NK cells	NK cells
mc25-Meyer_2021_5prime	Adventitial fibroblasts	Adventitial fibroblasts
mc250-Meyer_2021_5prime	NK cells	NK cells
mc251-Meyer_2021_5prime	NK cells	NK cells
mc252-Meyer_2021_5prime	NK cells	NK cells
mc253-Meyer_2021_5prime	NK cells	NK cells
mc254-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc255-Meyer_2021_5prime	Unknown	Unknown
mc256-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc257-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc258-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc259-Meyer_2021_5prime	Unknown	Unknown
mc26-Meyer_2021_5prime	Alveolar fibroblasts	Alveolar fibroblasts
mc260-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc261-Meyer_2021_5prime	Unknown	Unknown
mc262-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc263-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc264-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc265-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc266-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc267-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc268-Meyer_2021_5prime	Unknown	Unknown
mc269-Meyer_2021_5prime	Unknown	Unknown
mc27-Meyer_2021_5prime	Adventitial fibroblasts	Adventitial fibroblasts
mc270-Meyer_2021_5prime	Unknown	Unknown
mc271-Meyer_2021_5prime	Unknown	Unknown
mc272-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc273-Meyer_2021_5prime	Unknown	Unknown
mc274-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc275-Meyer_2021_5prime	Unknown	Unknown
mc276-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc277-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc278-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc279-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc28-Meyer_2021_5prime	Unknown	Unknown
mc280-Meyer_2021_5prime	Unknown	Unknown
mc281-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc282-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc283-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc284-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc285-Meyer_2021_5prime	Unknown	Unknown
mc286-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc287-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc288-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc289-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc29-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc290-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc291-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc292-Meyer_2021_5prime	Unknown	Unknown
mc293-Meyer_2021_5prime	Unknown	Unknown
mc294-Meyer_2021_5prime	Unknown	Unknown
mc295-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc296-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc297-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc298-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc299-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc3-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc30-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc300-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc301-Meyer_2021_5prime	Unknown	Unknown
mc302-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc303-Meyer_2021_5prime	Unknown	Unknown
mc304-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc305-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc306-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc307-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc308-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc309-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc31-Meyer_2021_5prime	Unknown	Unknown
mc310-Meyer_2021_5prime	Unknown	Unknown
mc311-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc312-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc313-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc314-Meyer_2021_5prime	Unknown	Unknown
mc315-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc316-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc317-Meyer_2021_5prime	Unknown	Unknown
mc318-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc319-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc32-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc320-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc321-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc322-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc323-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc324-Meyer_2021_5prime	Unknown	Unknown
mc325-Meyer_2021_5prime	Unknown	Unknown
mc326-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc327-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc328-Meyer_2021_5prime	Unknown	Unknown
mc329-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc33-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc330-Meyer_2021_5prime	Unknown	Unknown
mc331-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc332-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc333-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc334-Meyer_2021_5prime	Unknown	Unknown
mc335-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc336-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc337-Meyer_2021_5prime	Unknown	Unknown
mc338-Meyer_2021_5prime	Unknown	Unknown
mc339-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc34-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc340-Meyer_2021_5prime	Unknown	Unknown
mc341-Meyer_2021_5prime	Unknown	Unknown
mc342-Meyer_2021_5prime	Unknown	Unknown
mc343-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc344-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc345-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc346-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc347-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc348-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc349-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc35-Meyer_2021_5prime	Unknown	Unknown
mc350-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc351-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc352-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc353-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc354-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc355-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc356-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc357-Meyer_2021_5prime	Unknown	Unknown
mc358-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc359-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc36-Meyer_2021_5prime	Unknown	Unknown
mc360-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc361-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc362-Meyer_2021_5prime	Unknown	Unknown
mc363-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc364-Meyer_2021_5prime	Unknown	Unknown
mc365-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc366-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc367-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc368-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc369-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc37-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc370-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc371-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc372-Meyer_2021_5prime	Unknown	Unknown
mc373-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc374-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc375-Meyer_2021_5prime	Unknown	Unknown
mc376-Meyer_2021_5prime	EC general capillary	EC general capillary
mc377-Meyer_2021_5prime	Unknown	Unknown
mc378-Meyer_2021_5prime	EC general capillary	EC general capillary
mc379-Meyer_2021_5prime	EC general capillary	EC general capillary
mc38-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc380-Meyer_2021_5prime	EC general capillary	EC general capillary
mc381-Meyer_2021_5prime	Unknown	Unknown
mc382-Meyer_2021_5prime	EC general capillary	EC general capillary
mc383-Meyer_2021_5prime	Unknown	Unknown
mc384-Meyer_2021_5prime	EC general capillary	EC general capillary
mc385-Meyer_2021_5prime	EC general capillary	EC general capillary
mc386-Meyer_2021_5prime	EC general capillary	EC general capillary
mc387-Meyer_2021_5prime	EC general capillary	EC general capillary
mc388-Meyer_2021_5prime	EC general capillary	EC general capillary
mc389-Meyer_2021_5prime	EC general capillary	EC general capillary
mc39-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc390-Meyer_2021_5prime	EC general capillary	EC general capillary
mc391-Meyer_2021_5prime	EC general capillary	EC general capillary
mc392-Meyer_2021_5prime	EC aerocyte capillary	EC aerocyte capillary
mc393-Meyer_2021_5prime	EC general capillary	EC general capillary
mc394-Meyer_2021_5prime	EC general capillary	EC general capillary
mc395-Meyer_2021_5prime	EC general capillary	EC general capillary
mc396-Meyer_2021_5prime	EC general capillary	EC general capillary
mc397-Meyer_2021_5prime	EC general capillary	EC general capillary
mc398-Meyer_2021_5prime	EC general capillary	EC general capillary
mc399-Meyer_2021_5prime	EC general capillary	EC general capillary
mc4-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc40-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc400-Meyer_2021_5prime	EC general capillary	EC general capillary
mc401-Meyer_2021_5prime	EC general capillary	EC general capillary
mc402-Meyer_2021_5prime	EC general capillary	EC general capillary
mc403-Meyer_2021_5prime	EC aerocyte capillary	EC aerocyte capillary
mc404-Meyer_2021_5prime	Unknown	Unknown
mc405-Meyer_2021_5prime	EC general capillary	EC general capillary
mc406-Meyer_2021_5prime	EC general capillary	EC general capillary
mc407-Meyer_2021_5prime	Unknown	Unknown
mc408-Meyer_2021_5prime	EC general capillary	EC general capillary
mc409-Meyer_2021_5prime	EC aerocyte capillary	EC aerocyte capillary
mc41-Meyer_2021_5prime	Unknown	Unknown
mc410-Meyer_2021_5prime	EC general capillary	EC general capillary
mc411-Meyer_2021_5prime	EC general capillary	EC general capillary
mc412-Meyer_2021_5prime	Unknown	Unknown
mc413-Meyer_2021_5prime	EC general capillary	EC general capillary
mc414-Meyer_2021_5prime	Unknown	Unknown
mc415-Meyer_2021_5prime	EC general capillary	EC general capillary
mc416-Meyer_2021_5prime	EC general capillary	EC general capillary
mc417-Meyer_2021_5prime	EC general capillary	EC general capillary
mc418-Meyer_2021_5prime	NK cells	NK cells
mc419-Meyer_2021_5prime	NK cells	NK cells
mc42-Meyer_2021_5prime	Unknown	Unknown
mc420-Meyer_2021_5prime	NK cells	NK cells
mc421-Meyer_2021_5prime	NK cells	NK cells
mc422-Meyer_2021_5prime	Unknown	Unknown
mc423-Meyer_2021_5prime	Unknown	Unknown
mc424-Meyer_2021_5prime	Unknown	Unknown
mc425-Meyer_2021_5prime	Unknown	Unknown
mc426-Meyer_2021_5prime	Unknown	Unknown
mc427-Meyer_2021_5prime	Unknown	Unknown
mc428-Meyer_2021_5prime	Unknown	Unknown
mc429-Meyer_2021_5prime	Unknown	Unknown
mc43-Meyer_2021_5prime	Unknown	Unknown
mc430-Meyer_2021_5prime	Unknown	Unknown
mc431-Meyer_2021_5prime	Unknown	Unknown
mc432-Meyer_2021_5prime	Unknown	Unknown
mc433-Meyer_2021_5prime	Unknown	Unknown
mc434-Meyer_2021_5prime	Unknown	Unknown
mc435-Meyer_2021_5prime	Unknown	Unknown
mc436-Meyer_2021_5prime	Unknown	Unknown
mc437-Meyer_2021_5prime	Unknown	Unknown
mc438-Meyer_2021_5prime	Unknown	Unknown
mc439-Meyer_2021_5prime	Unknown	Unknown
mc44-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc440-Meyer_2021_5prime	Unknown	Unknown
mc441-Meyer_2021_5prime	Unknown	Unknown
mc442-Meyer_2021_5prime	Unknown	Unknown
mc443-Meyer_2021_5prime	Unknown	Unknown
mc444-Meyer_2021_5prime	Unknown	Unknown
mc445-Meyer_2021_5prime	Unknown	Unknown
mc446-Meyer_2021_5prime	Basal resting	Basal resting
mc447-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc448-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc449-Meyer_2021_5prime	Unknown	Unknown
mc45-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc450-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc451-Meyer_2021_5prime	Unknown	Unknown
mc452-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc453-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc454-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc455-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc456-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc457-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc458-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc459-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc46-Meyer_2021_5prime	Unknown	Unknown
mc460-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc461-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc462-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc463-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc464-Meyer_2021_5prime	Interstitial Mph perivascular	Interstitial Mph perivascular
mc465-Meyer_2021_5prime	Unknown	Unknown
mc466-Meyer_2021_5prime	Unknown	Unknown
mc467-Meyer_2021_5prime	Unknown	Unknown
mc468-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc469-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc47-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc470-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc471-Meyer_2021_5prime	Unknown	Unknown
mc472-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc473-Meyer_2021_5prime	Unknown	Unknown
mc474-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc475-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc476-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc477-Meyer_2021_5prime	Unknown	Unknown
mc478-Meyer_2021_5prime	Unknown	Unknown
mc479-Meyer_2021_5prime	Unknown	Unknown
mc48-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc480-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc481-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc482-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc483-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc484-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc485-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc486-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc487-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc488-Meyer_2021_5prime	Unknown	Unknown
mc489-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc49-Meyer_2021_5prime	Unknown	Unknown
mc490-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc491-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc492-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc493-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc494-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc495-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc496-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc497-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc498-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc499-Meyer_2021_5prime	Unknown	Unknown
mc5-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc50-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc500-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc501-Meyer_2021_5prime	Unknown	Unknown
mc502-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc503-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc504-Meyer_2021_5prime	Unknown	Unknown
mc505-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc506-Meyer_2021_5prime	Unknown	Unknown
mc507-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc508-Meyer_2021_5prime	Unknown	Unknown
mc509-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc51-Meyer_2021_5prime	Unknown	Unknown
mc510-Meyer_2021_5prime	Unknown	Unknown
mc511-Meyer_2021_5prime	Unknown	Unknown
mc512-Meyer_2021_5prime	Unknown	Unknown
mc513-Meyer_2021_5prime	Unknown	Unknown
mc514-Meyer_2021_5prime	Unknown	Unknown
mc515-Meyer_2021_5prime	Unknown	Unknown
mc516-Meyer_2021_5prime	Unknown	Unknown
mc517-Meyer_2021_5prime	Unknown	Unknown
mc518-Meyer_2021_5prime	Unknown	Unknown
mc519-Meyer_2021_5prime	Unknown	Unknown
mc52-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc520-Meyer_2021_5prime	Unknown	Unknown
mc521-Meyer_2021_5prime	Unknown	Unknown
mc522-Meyer_2021_5prime	Unknown	Unknown
mc523-Meyer_2021_5prime	Unknown	Unknown
mc524-Meyer_2021_5prime	Unknown	Unknown
mc525-Meyer_2021_5prime	Unknown	Unknown
mc526-Meyer_2021_5prime	Unknown	Unknown
mc527-Meyer_2021_5prime	Unknown	Unknown
mc528-Meyer_2021_5prime	Unknown	Unknown
mc529-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc53-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc530-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc531-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc532-Meyer_2021_5prime	Unknown	Unknown
mc533-Meyer_2021_5prime	Unknown	Unknown
mc534-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc535-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc536-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc537-Meyer_2021_5prime	Unknown	Unknown
mc538-Meyer_2021_5prime	Unknown	Unknown
mc539-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc54-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc540-Meyer_2021_5prime	Unknown	Unknown
mc541-Meyer_2021_5prime	Unknown	Unknown
mc542-Meyer_2021_5prime	Unknown	Unknown
mc543-Meyer_2021_5prime	Unknown	Unknown
mc544-Meyer_2021_5prime	Unknown	Unknown
mc545-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc546-Meyer_2021_5prime	Unknown	Unknown
mc547-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc548-Meyer_2021_5prime	Unknown	Unknown
mc549-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc55-Meyer_2021_5prime	Unknown	Unknown
mc550-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc551-Meyer_2021_5prime	Unknown	Unknown
mc552-Meyer_2021_5prime	Unknown	Unknown
mc553-Meyer_2021_5prime	Unknown	Unknown
mc554-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc555-Meyer_2021_5prime	CD8 T cells	CD8 T cells
mc556-Meyer_2021_5prime	AT2	AT2
mc557-Meyer_2021_5prime	AT2	AT2
mc558-Meyer_2021_5prime	AT2	AT2
mc559-Meyer_2021_5prime	AT2	AT2
mc56-Meyer_2021_5prime	Monocyte-derived Mph	Monocyte-derived Mph
mc560-Meyer_2021_5prime	AT2	AT2
mc561-Meyer_2021_5prime	AT2	AT2
mc562-Meyer_2021_5prime	AT2	AT2
mc563-Meyer_2021_5prime	AT2	AT2
mc564-Meyer_2021_5prime	AT2	AT2
mc565-Meyer_2021_5prime	AT2	AT2
mc566-Meyer_2021_5prime	AT2	AT2
mc567-Meyer_2021_5prime	AT2	AT2
mc568-Meyer_2021_5prime	AT2	AT2
mc569-Meyer_2021_5prime	AT2	AT2
mc57-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc570-Meyer_2021_5prime	AT2	AT2
mc571-Meyer_2021_5prime	AT2	AT2
mc572-Meyer_2021_5prime	AT2	AT2
mc573-Meyer_2021_5prime	AT2	AT2
mc574-Meyer_2021_5prime	AT2	AT2
mc575-Meyer_2021_5prime	AT2	AT2
mc576-Meyer_2021_5prime	AT2	AT2
mc577-Meyer_2021_5prime	AT2	AT2
mc578-Meyer_2021_5prime	AT2	AT2
mc579-Meyer_2021_5prime	AT2	AT2
mc58-Meyer_2021_5prime	Unknown	Unknown
mc580-Meyer_2021_5prime	AT2	AT2
mc581-Meyer_2021_5prime	AT2	AT2
mc582-Meyer_2021_5prime	AT2	AT2
mc583-Meyer_2021_5prime	AT2	AT2
mc584-Meyer_2021_5prime	AT2	AT2
mc585-Meyer_2021_5prime	AT2	AT2
mc586-Meyer_2021_5prime	DC2	DC2
mc587-Meyer_2021_5prime	Migratory DCs	Migratory DCs
mc588-Meyer_2021_5prime	Migratory DCs	Migratory DCs
mc589-Meyer_2021_5prime	Suprabasal	Suprabasal
mc59-Meyer_2021_5prime	Unknown	Unknown
mc590-Meyer_2021_5prime	Unknown	Unknown
mc591-Meyer_2021_5prime	Suprabasal	Suprabasal
mc592-Meyer_2021_5prime	Suprabasal	Suprabasal
mc593-Meyer_2021_5prime	Suprabasal	Suprabasal
mc594-Meyer_2021_5prime	Suprabasal	Suprabasal
mc595-Meyer_2021_5prime	Suprabasal	Suprabasal
mc596-Meyer_2021_5prime	Suprabasal	Suprabasal
mc597-Meyer_2021_5prime	Suprabasal	Suprabasal
mc598-Meyer_2021_5prime	Suprabasal	Suprabasal
mc599-Meyer_2021_5prime	Suprabasal	Suprabasal
mc6-Meyer_2021_5prime	CD4 T cells	CD4 T cells
mc60-Meyer_2021_5prime	Unknown	Unknown
mc600-Meyer_2021_5prime	Suprabasal	Suprabasal
mc601-Meyer_2021_5prime	Suprabasal	Suprabasal
mc602-Meyer_2021_5prime	B cells	B cells
mc603-Meyer_2021_5prime	Unknown	Unknown
mc604-Meyer_2021_5prime	Unknown	Unknown
mc605-Meyer_2021_5prime	Unknown	Unknown
mc606-Meyer_2021_5prime	Unknown	Unknown
mc607-Meyer_2021_5prime	Suprabasal	Suprabasal
mc608-Meyer_2021_5prime	Unknown	Unknown
mc609-Meyer_2021_5prime	Unknown	Unknown
mc61-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc610-Meyer_2021_5prime	Suprabasal	Suprabasal
mc611-Meyer_2021_5prime	Unknown	Unknown
mc612-Meyer_2021_5prime	Unknown	Unknown
mc613-Meyer_2021_5prime	Unknown	Unknown
mc614-Meyer_2021_5prime	Basal resting	Basal resting
mc615-Meyer_2021_5prime	Unknown	Unknown
mc616-Meyer_2021_5prime	Unknown	Unknown
mc617-Meyer_2021_5prime	Suprabasal	Suprabasal
mc618-Meyer_2021_5prime	Basal resting	Basal resting
mc619-Meyer_2021_5prime	Unknown	Unknown
mc62-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc620-Meyer_2021_5prime	Unknown	Unknown
mc621-Meyer_2021_5prime	Unknown	Unknown
mc622-Meyer_2021_5prime	Unknown	Unknown
mc623-Meyer_2021_5prime	Suprabasal	Suprabasal
mc624-Meyer_2021_5prime	Classical monocytes	Classical monocytes
mc625-Meyer_2021_5prime	Classical monocytes	Classical monocytes
mc626-Meyer_2021_5prime	Non-classical monocytes	Non-classical monocytes
mc627-Meyer_2021_5prime	Plasmacytoid DCs	Plasmacytoid DCs
mc628-Meyer_2021_5prime	DC2	DC2
mc629-Meyer_2021_5prime	Unknown	Unknown
mc63-Meyer_2021_5prime	Alveolar macrophages	Alveolar macrophages
mc630-Meyer_2021_5prime	DC2	DC2
