UID	AF1	AF2	PMP	SCMF	VSMC	ASMC	Pericyte	VEC	LEC	AEC	CAP1	EPC	CAP2	Chondrocyte	Mesothelial	AT1	AT1/AT2	AT2	Sox9_Epi	Secretory	Basal	Ciliated	Deuterosomal	PNEC	CD4_T	CD8_T	Treg	ILC	NK	B	cDC1	cDC2	maDC	Neutrophil	Basophil	Mast	iMON	AM	IM	Megakaryocyte/Platelet
Mmp16	0.002647514	0.188107599	0.013872845	0.016010108	0.047796315	0.0744699	0	0.526915775	0	0.030633869	0.006130536	0.038410304	0.036922357	0	0.131518178	0.031690484	0.003095984	0.00323811	0.011365882	0	0	0.001673635	0.042579811	0.02244117	0	0.004476609	0	0.007296024	0	0	0.008908717	0	0.037973952	0	0	0	0	0	0	0
Slc6a2	0.000342986	0.010044709	0	0.009385501	0.002411927	0.034387898	0.00246013	1.139532748	0	0	0.006135622	0	0.007230663	0	0.019861772	0.014158937	0.00276482	0.006626524	0	0.008602436	0	0	0	0	0	0	0	0.004908305	0	0	0	0.00293077	0	0	0	0	0	0.006842657	0.003676026	0
Pgm5	0.369767235	0.132998732	0.110011313	0.009435759	0.112782179	0.169528036	0	1.169886038	0.605527832	0.019291354	0.018536338	0.017176674	0.017911415	0	0.0125956	0	0	0.00323811	0	0.006421358	0	0	0.005015641	0	0.009259444	0.004179726	0	0.004908305	0.004432113	0	0	0.018210885	0	0.002580117	0.008452829	0	0.002562895	0	0.006481947	0
Moxd1	0	0.009192593	0	0.004527605	0.012114797	0	0.01151126	0.533102027	0.012344501	0.014346895	0	0.00295212	0	0	0	0	0	0.011569583	0	0	0	0	0	0	0	0	0	0.015090206	0	0	0	0	0	0.002906002	0	0	0.004723736	0	0	0
Lhx6	0	0.0022282	0	0	0	0	0.002409677	0.349276384	0	0	0.004765053	0.043331537	0	0	0	0	0	0.00323811	0.010915126	0	0	0	0.001455348	0.036366997	0.028206906	0	0	0	0	0	0	0	0	0.02746327	0	0	0.005800566	0.001817301	0.006490412	0
Samd5	0.027747083	0.057301261	0.017261908	0.076159894	0.125026045	0.040921451	0.156755333	1.080261864	0.024719182	0.173670919	0.071080516	0.177535937	0.028954955	0	0.068066353	0.003121354	0	0.01420784	0.008263367	0.140221872	0	0.03379366	0.098005617	0.142490022	0	0.007992705	0	0.010201735	0	0.011001428	0	0	0	0	0.006801482	0.048861581	0.003205701	0	0.01015775	0.021002019
Vegfc	0.006381667	0.05630894	0	0.008061317	0.009783527	0.027291938	0.026640552	0.943605228	0.031728914	0.19532785	0.069715638	0.154260742	0.057281925	0	0.04977619	0.00184592	0	0.014981295	0.004909823	0.018478126	0	0.024980843	0.070799214	0.011046412	0	0.011583246	0.067539865	0	0.087616834	0.001407074	0.0333464	0	0	0.005764858	0.009909944	0	0.007792483	0.004132153	0.002637824	0.024960101
Ackr3	0.008033518	0.236057118	0	0.069115299	0.019068615	0.009000621	0.013371608	2.383960713	0.112983734	0.074599927	0.229458116	0.411623902	0.166633003	0.193142812	0.333407326	0.012651203	0.002112045	0.013600293	0.011414124	0.007831943	0.089761855	0.034661952	0.025097469	0.116358847	0.009554457	0.006477177	0.021208339	0.005435496	0.022433976	0.016050962	0	0	0	0.010788182	0.007220792	0	0.004623932	0.020129925	0.011851193	0.284759372
Palm	0.103835149	0.237370095	0.018339823	0.127094039	0.151915768	0.109491118	0.054333709	0.279320945	0.753447536	0.142342746	0.0775327	0.128143387	0.077173811	0	0.337869224	0.010538752	0.003848399	0.007663706	0.059141567	0.033681044	0.053258212	0.083783264	0.006362911	0.293179598	0.012676926	0.011358403	0.00626069	0	0.030765646	0.015773429	0.016094006	0.062004888	0	0.104525861	0.103343124	0	0.069146747	0.020895582	0.003068627	0.028426984
Prss23	0.000809804	0.215113971	0	0.028981819	0.673344773	0.060504005	0.014314393	2.189646624	1.736163695	0.350515341	0.235796343	0.278018762	0.037119287	0	1.153339486	0.02842794	0.020063066	0.014414884	0.121905171	0.107526436	0.082538475	0.005375439	0.014153605	0.283980731	0.021180997	0.008352306	0.016603757	0.071384462	0.02653892	0.008860776	0.016085739	0.005746221	0	0.041223367	0	0	0.007169944	0.002081724	0.006393563	0
Fam43a	0.081870717	0.03261994	0	0.041375988	0.018385821	0.048972925	0.004257699	0.378315389	0.697199402	0.141775086	0.208925874	0.222483196	0.335819521	0	0.003852195	0.032585313	0.027113825	0.019705132	0.037913212	0.039618878	0	0.305425408	0.04880566	0.071198777	0	0	0.013962651	0.179473015	0.01923274	0.253970688	0.007298249	0.010627202	0	0.025465617	0	0.204298363	0.071774187	0.032596107	0.102113741	0.143055522
Duoxa2	0	0	0	0	0	0	0	0	0.111155616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab11fip3	0.018101243	0.029312832	0.014276556	0.044820194	0.045524504	0.013932205	0.042764347	0.048700444	0.273118652	0.057175299	0.036059172	0.038634564	0.027975248	0.095720875	0.112603936	0.017692337	0.040896221	0.079936571	0	0.043433966	0.077771099	0.045038121	0.018807045	0.021576364	0	0	0.010442034	0.00485164	0	0.003926741	0	0.009015158	0.022077518	0.007184234	0.015084131	0.041421317	0.001355532	0.001572817	0.006826974	0.016240606
Gm26902	0.000293725	0.011079919	0	0	0	0	0	0.012840676	0.06998519	0	0	0	0	0	0.004987538	0	0	0	0	0.0141421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009034638	0
