UID	aCap	Adventitial FB	Alveolar FB	Alveolar macrophage	Arteriole	AT1	AT2	B cells	Basal	CD4	CD8/NKT	cDC1	cDC2	Ciliated	Differentiating ciliated	gCap	Inflamed	Inflammatory monocyte	Interstitial macrophage	KRT5-/KRT17+	Lymphatic	Mast	Mesothelial	moDC	Monocyte	Monocyte-derived macrophage	MyoFB	MyoFB - Activated	NK	pDC	Pericyte	Plasma	PLIN2+ FB	PNEC	Proliferating - Epi	Proliferating - Imm	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	SMC	Systemic venous	Transitional AT2	Venule
AC133065.1	0	0	0	3.36E-05	0.001171372	0	0.001041312	0.056741549	0	0	0	0	0.000773124	7.85E-05	0	0	0	0.001005586	0.007608733	0	0.000705293	0	0	0.002190573	0.000315004	0.001090741	0	0	0	0	0	0.000584019	0	0	0	0.001477583	0.002546945	0	0.001194766	0	8.85E-05	0	0
AL158850.1	0	0	0.000978792	0	0.000320632	0	2.54E-05	0.143232681	0.000530244	0.000657004	0.000284523	0	0.010536154	0	0	0	0	0.002866659	0.000809939	0	0	0.000227289	0	0.003766695	3.85E-05	0.000388622	0	0.000587823	0.004344206	0	0	0.061178542	0	0	0	0.011838521	0	0	0	0	0	0	0
FCMR	0.00621907	0.00412815	0.028166311	0.00821954	0.001778743	0.007839722	0.036812117	1.140417069	0.05632977	0.605583236	0.511594521	0.001018899	0.055125524	0.057473355	0.058175106	0	0	0.017683104	0.484641985	0.025947318	0.001368853	0.003818827	0.465285335	0.034489055	0.005295066	0.04907567	0.085939211	0.024638058	0.765125562	0.065101024	0.080801511	0.117890053	0.046943079	0	0.091342226	0.120576623	0.061264075	0.013364352	0.043989553	0.270160716	0.005483123	0.051014712	0.00162359
AC119396.1	0	0.001259498	0.001294148	0.07219525	0.000926508	0	8.53E-05	0.448196312	0.001084849	0.134892515	0.098380069	0	0.04390956	0.000233883	0	0	0	0.10433144	0.007345344	0	0	0.004330231	0.002244963	0.023709385	0.051530901	0.029262271	0	0.008171899	0.246312285	0.144910484	0	0.057498875	0.003757873	0	0	0.079325418	0	0	0	0	0.000354278	0	0.000986389
AL355076.2	0	0	0	0	0	0	0.003847722	0.125565741	0.000720113	0	0	0	0.003156607	0.000310026	0	0	0	0.000200012	0	0.00305787	0	0	0	0	0	7.10E-05	0	0	0.004737225	0	0	0.039449985	0	0	0	0.002221583	0.001632474	0.013431362	0.004045896	0	0	0	0
SP140	0.001960845	0	0.006586473	0.16806181	0.00629516	0.000599961	0.001549723	0.981581768	0.004238322	0.5395622	0.506286233	0.095754595	0.142262385	0.00457607	0.001790783	0	0	0.09269384	0.074886054	0	0.007520066	0.005470294	0.002131262	0.092363357	0.042203817	0.083358845	0	0.012495853	0.513115236	0.018867544	0.000485648	0.442473097	0.000112061	0	0.00198604	0.242641303	0.002186277	0.00097792	0.000839123	0.01725941	0.000651893	0.0022943	0.001048554
AC120193.1	0	0	0.002333052	0.00022445	0	0	0.000217086	0.27171706	0.001967677	0.0002237	0.003858164	0.108367878	0.021742011	0.002215989	0	0	0	0.010043741	0.005394843	0	0	0.012266409	0	0.01104499	0.005107469	0.003514752	0.015161097	0.001059009	0	0.016982582	0.000461915	0.085574983	0	0	0	0.010251464	0.001132035	0.002076067	0.000236367	0	0.000131432	0	0
BCAS4	0.000185763	0.02054716	0.015139496	0.000735378	0.003785966	0.127933293	0.086111663	0.764098177	0.24299955	0.084071771	0.140364091	0.003173075	0.003928719	0.201426411	0.209741147	0.01026308	0	0.00232279	0.001798448	0.249170269	0.002591647	0.01781781	0.080613024	0.013472976	0.001225754	0.004354271	0	0.053196029	0.099597197	0.205779585	0.040810612	0.08274861	0.015071127	0.401425307	0.207727846	0.034061044	0.138936727	0.094598257	0.143852504	0.12796533	0.001781272	0.087898037	0
LINC01857	0.001892897	0	0	0.037585901	0	0	0.003815851	0.586709416	0.000606931	0	0.000222061	0.381738252	0.017465288	0.000198921	0	0	0	0.025582161	0.208518239	0	0	0.008456926	0	0.02903694	0.010541737	0.066801281	0	0	0.004214284	0.00328528	0	0.014086925	0	0	0.011150947	0.026613222	0.002274548	0.000547202	0.000393173	0	0.000767062	0	0.000114415
C12orf42	0	0	0	0	0	0	2.55E-05	0.224010122	0.000641626	0.025303353	0.010663735	0	0.007339713	0.003365406	0.000983284	0.011222357	0	0.000623292	0.00019335	0	0.004820788	0.000386672	0	0.002766658	3.58E-05	0.000213792	0	0	0.004697938	0.019850631	0	0.017495564	0	0	0	0.0066066	0	0	0.000187418	0	0	0.003657187	0
