UID	MyoFB - Activated	Adventitial FB	PLIN2+ FB	Alveolar FB	Mesothelial	aCap	gCap	Inflamed	Venule	Systemic venous	Arteriole	Lymphatic	AT1	KRT5-/KRT17+	Transitional AT2	AT2	Proliferating - Epi	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	Basal	NK	CD4	CD8/NKT	Mast	pDC	PNEC	B cells	Plasma	cDC1	Monocyte	cDC2	Inflammatory monocyte	moDC	Proliferating - Imm	Alveolar macrophage	Monocyte-derived macrophage	Interstitial macrophage	Pericyte	SMC	MyoFB	Ciliated	Differentiating ciliated
AC093772.1	0.008963759	0.049751157	0.006784423	0.13904006	0.00051795	0	0	0	0	0	0	0.001207186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122474	0	0	0	0.000121169	0	0.000430647	0.000478932	0	0	0
LINC01936	0.049630023	0.082130271	0.035567772	0.205462202	0	0.006171063	0	0	0.001252666	0.001381737	0.003420191	0	0.001480648	0	0	0	0	0	0	0.000361724	0.000871391	0	0	0	0	0	0	0	0	0	0.000164318	0	7.27E-05	8.95E-05	0.000121286	0	0.000250307	0.000267981	0	0.009365879	0.028559938	0	0
TCF21	0.429678729	1.014149416	0.376452912	1.438550315	0.12242347	0.011040224	0	0	0	0.001124358	0	0.001741635	0.002506074	0	0	0.000821281	0.002124495	0.001397618	0.000228192	0.000765746	0.000628276	0.001801638	0.003842863	0.000532897	0	0.01938552	0	0.002558402	0.012994145	0.003314508	0.001271973	0.000305893	0.001670735	0.012694395	0.001063666	0.000219921	0.00166202	0.000254216	1.04658677	0.712821435	0.181597154	0.001795974	0
HGF	0.355117264	0.499401689	0.488029438	1.032506738	0.026983086	0.019989481	0	0	0.019458954	0.009563178	0.002296368	0.070705903	0	0.002070657	0	0.000776173	0.002131965	0.000456619	0.005225625	0.001165376	0.000328459	0.000224586	0.002686099	0.00386866	0.044644879	0	0.263090758	0.00062128	0.018756429	0.009346359	0.078153909	0.019941986	0.13006848	0.122488019	0.034495553	0.004272618	0.073729313	0.107950597	0.679850201	0.131409589	0.184195438	0.000791809	0.001910676
ITIH5	0.377763467	0.690112361	0.491598272	1.094652906	0.172066495	0.094791138	0.129755846	0.122525585	0.026800349	0.10227967	0.042595967	0.097514089	0.00503232	0.064443078	0.066744621	0.001581969	0.012440434	0.001733975	0.001167442	0.024973557	0.059882339	0	0.004939413	0.00042263	0.007691904	0	0.285593827	0	0.000582128	0.001900146	0.000691169	0.000760412	0.000785773	0.001625974	0.010121943	0.131955494	0.027335086	0.007778601	0.256677324	0.345548919	0.297467938	0.000377892	0.007859984
PLPPR4	0.142957551	0.086645082	0.013900239	0.483535305	0.041890867	0.010345735	0	0	0.000102962	0.004552459	0.015482147	0	0	0	0	0	0	0	0.002259132	0.000215886	0	0	0.005208516	0	0	0	0	0	0	0	0.000503935	0.000781894	0.001749331	0	0	0	0.000278957	0	0.385342613	0.019264868	0.125177845	0.000717453	0
PLEKHH2	0.453795395	0.486924862	0.191016793	1.09749176	0.214054054	0.004409938	0.025087937	0	0.001281574	0.008906392	0.001350028	0.012926552	0.376278156	0.164796733	0.145421802	0.099785506	0.130447992	0.179770619	0.13775791	0.168090945	0.127006757	0.000533546	0.00045356	0.005642453	0.002815309	0	0.082014606	0.010046283	0	0	0.001514147	0.000608963	0.001256176	0.000419326	0.00587025	0.003758424	0.000799586	0.000699015	0.366069102	0.268283371	0.50241518	0.07989189	0.141854225
MEOX2	0.192869329	0.321093372	0.090045078	0.583734671	0.20139139	0.000233529	0	0	0.040495998	0.133201724	0.011709172	0.002647174	0	0	0	0.000195513	0.008175916	0.000781002	0	0.000444361	0.000491074	0	0.000193943	0.000205745	0	0.020223246	0	0	0	0	0	0.000162472	0.000278212	0.001527698	0	0.001783652	0.000119726	0.000569412	0.219877181	0.155180503	0.050104116	0.00031808	0
COL6A6	0.041288833	0.096124864	0.222579215	0.372965362	0.05209366	0.000279261	0	0	0	0	0	0	0	0	0	0.000227762	0	0	0	0.000113254	0	0.00147885	0.00020498	0	0.000315344	0	0	0	0	0	0.000298155	0	0.000180013	0	0	0	0.000264163	0.000225902	0.034286824	0.042924496	0.03146693	8.65E-05	0
TDO2	0.194847139	0.017685906	0.061680852	0.413397615	0.026438179	0	0	0	0	2.54E-05	0	0	0	0	0.003353345	0.000668646	0	0	0	0.000169259	0	0	0.000206619	0	0.001633076	0	0	0.000705722	0.000760906	0	0.000754391	0.002042837	0.000224055	0	0.000365572	0.004651877	0.008455031	0.001215078	0.212120435	0.00705989	0	0.002094256	0.006600794
